lineage	nuc_muts	spike_muts	s1_muts	s2_muts	ntd_muts	rbd_muts	orf1ab_muts	accessory_muts
B.1.319	7.	1.	1.	0.	0.	0.	3.	1.
B.1.320	8.	1.	1.	0.	0.	0.	2.	1.
B.1.324	7.	1.	1.	0.	0.	0.	2.	1.
B.1.336	8.	1.	1.	0.	0.	0.	2.	2.
B.1.340	8.	1.	1.	0.	0.	0.	3.	2.
B.1.346	11.	1.	1.	0.	0.	0.	4.	2.
B.1.349	8.	1.	1.	0.	0.	0.	2.	2.
B.1.350	7.	1.	1.	0.	0.	0.	2.	1.
B.1.351	19.	6.	6.	0.	2.	3.	4.	4.
B.1.351.1	27.	7.	7.	0.	2.	3.	8.	3.
B.1.351.2	24.	7.	7.	0.	3.	3.	6.	4.
B.1.351.3	28.	7.	7.	0.	3.	3.	7.	4.
B.1.351.5	31.	7.	7.	0.	3.	3.	6.	7.
B.1.356	8.	1.	1.	0.	0.	0.	2.	2.
B.1.36	9.	1.	1.	0.	0.	0.	1.	2.
B.1.36.1	12.	1.	1.	0.	0.	0.	1.	2.
B.1.361	14.	1.	1.	0.	0.	0.	8.	2.
B.1.36.10	9.	1.	1.	0.	0.	0.	1.	2.
B.1.36.16	11.	1.	1.	0.	0.	0.	1.	2.
B.1.36.17	12.	1.	1.	0.	0.	0.	2.	2.
B.1.36.18	16.	2.	2.	0.	1.	0.	4.	3.
B.1.36.19	11.	1.	1.	0.	0.	0.	1.	3.
B.1.362	12.	1.	1.	0.	0.	0.	4.	2.
B.1.36.22	10.	1.	1.	0.	0.	0.	2.	2.
B.1.36.24	10.	1.	1.	0.	0.	0.	1.	2.
B.1.36.29	14.	1.	1.	0.	0.	0.	3.	5.
B.1.36.31	21.	3.	3.	0.	2.	0.	3.	3.
B.1.36.35	10.	1.	1.	0.	0.	0.	1.	3.
B.1.36.36	16.	1.	1.	0.	0.	0.	4.	3.
B.1.36.38	11.	1.	1.	0.	0.	0.	2.	2.
B.1.36.39	17.	1.	1.	0.	0.	0.	5.	3.
B.1.36.7	10.	1.	1.	0.	0.	0.	2.	2.
B.1.367	27.	2.	2.	0.	1.	0.	9.	4.
B.1.36.8	11.	1.	1.	0.	0.	0.	1.	2.
B.1.36.9	17.	1.	1.	0.	0.	0.	7.	2.
B.1.369	9.	1.	1.	0.	0.	0.	2.	2.
B.1.371	7.	1.	1.	0.	0.	0.	2.	1.
B.1.375	14.	1.	1.	0.	0.	0.	4.	4.
B.1.377	7.	1.	1.	0.	0.	0.	1.	3.
B.1.378	5.	1.	1.	0.	0.	0.	2.	0.
B.1.379	5.	1.	1.	0.	0.	0.	1.	0.
B.1.380	7.	1.	1.	0.	0.	0.	1.	1.
B.1.381	7.	1.	1.	0.	0.	0.	1.	0.
B.1.389	17.	1.	1.	0.	0.	0.	5.	2.
B.1.391	6.	1.	1.	0.	0.	0.	2.	1.
B.1.393	7.	1.	1.	0.	0.	0.	2.	1.
B.1.395	5.	1.	1.	0.	0.	0.	2.	0.
B.1.396	11.	1.	1.	0.	0.	0.	3.	1.
B.1.397	7.	1.	1.	0.	0.	0.	2.	1.
B.1.398	10.	2.	2.	0.	1.	0.	2.	1.
B.1.399	7.	1.	1.	0.	0.	0.	1.	2.
B.1.400	7.	1.	1.	0.	0.	0.	2.	1.
B.1.402	9.	2.	2.	0.	0.	0.	1.	1.
B.1.404	13.	2.	2.	0.	0.	1.	6.	1.
B.1.409	16.	1.	1.	0.	0.	0.	4.	4.
B.1.411	11.	1.	1.	0.	0.	0.	3.	1.
B.1.415.1	29.	6.	6.	0.	1.	3.	7.	4.
B.1.416	8.	1.	1.	0.	0.	0.	2.	1.
B.1.416.1	8.	1.	1.	0.	0.	0.	1.	1.
B.1.417	9.	1.	1.	0.	0.	0.	2.	0.
B.1.420	6.	1.	1.	0.	0.	0.	1.	0.
B.1.426	9.	2.	2.	0.	1.	0.	3.	2.
B.1.427	17.	3.	3.	0.	1.	1.	5.	2.
B.1.428	7.	1.	1.	0.	0.	0.	3.	1.
B.1.429	20.	3.	3.	0.	1.	1.	4.	2.
B.1.433	11.	1.	1.	0.	0.	0.	3.	3.
B.1.436	8.	1.	1.	0.	0.	0.	1.	2.
B.1.438	8.	1.	1.	0.	0.	0.	2.	2.
B.1.438.1	14.	2.	2.	0.	0.	0.	2.	4.
B.1.441	8.	1.	1.	0.	0.	0.	1.	2.
B.1.453	7.	1.	1.	0.	0.	0.	2.	1.
B.1.456	8.	1.	1.	0.	0.	0.	1.	2.
B.1.459	8.	1.	1.	0.	0.	0.	2.	1.
B.1.462	8.	1.	1.	0.	0.	0.	1.	1.
B.1.465	8.	1.	1.	0.	0.	0.	1.	1.
B.1.466	8.	1.	1.	0.	0.	0.	1.	2.
B.1.466.1	17.	2.	2.	0.	0.	1.	5.	6.
B.1.466.2	15.	2.	2.	0.	0.	1.	3.	2.
B.1.468	8.	1.	1.	0.	0.	0.	1.	1.
B.1.469	10.	1.	1.	0.	0.	0.	3.	2.
B.1.470	8.	1.	1.	0.	0.	0.	2.	1.
B.1.471	9.	1.	1.	0.	0.	0.	1.	1.
B.1.474	20.	2.	2.	0.	0.	0.	4.	4.
B.1.480	10.	1.	1.	0.	0.	0.	3.	2.
B.1.497	11.	1.	1.	0.	0.	0.	4.	1.
B.1.499	10.	1.	1.	0.	0.	0.	4.	2.
B.1.503	10.	1.	1.	0.	0.	0.	4.	2.
B.1.505	14.	1.	1.	0.	0.	0.	4.	1.
B.1.509	11.	1.	1.	0.	0.	0.	5.	2.
B.1.517	11.	2.	2.	0.	0.	1.	4.	2.
B.1.523	8.	1.	1.	0.	0.	0.	1.	2.
B.1.524	13.	1.	1.	0.	0.	0.	5.	1.
B.1.525	24.	5.	5.	0.	2.	1.	3.	4.
B.1.526	14.	3.	3.	0.	2.	0.	4.	3.
B.1.527	6.	1.	1.	0.	0.	0.	2.	0.
B.1.530	13.	2.	2.	0.	0.	0.	4.	1.
B.1.533	8.	1.	1.	0.	0.	0.	1.	3.
B.1.537	7.	1.	1.	0.	0.	0.	2.	1.
B.1.538	7.	1.	1.	0.	0.	0.	2.	0.
B.1.540	5.	1.	1.	0.	0.	0.	1.	1.
B.1.544	6.	1.	1.	0.	0.	0.	1.	1.
B.1.549	12.	1.	1.	0.	0.	0.	8.	0.
B.1.551	8.	2.	2.	0.	0.	0.	2.	1.
B.1.558	7.	1.	1.	0.	0.	0.	1.	1.
B.1.560	5.	1.	1.	0.	0.	0.	1.	0.
B.1.561	13.	2.	2.	0.	1.	0.	4.	3.
B.1.564	8.	1.	1.	0.	0.	0.	2.	2.
B.1.565	11.	1.	1.	0.	0.	0.	5.	1.
B.1.566	7.	1.	1.	0.	0.	0.	2.	1.
B.1.567	12.	1.	1.	0.	0.	0.	4.	3.
B.1.568	17.	1.	1.	0.	0.	0.	5.	4.
B.1.570	15.	2.	2.	0.	0.	0.	6.	2.
B.1.575	20.	3.	3.	0.	0.	1.	6.	3.
B.1.575.1	22.	3.	3.	0.	0.	1.	6.	4.
B.1.576	6.	1.	1.	0.	0.	0.	2.	1.
B.1.577	9.	1.	1.	0.	0.	0.	4.	2.
B.1.580	8.	1.	1.	0.	0.	0.	3.	2.
B.1.582	9.	1.	1.	0.	0.	0.	3.	2.
B.1.587	17.	2.	2.	0.	1.	0.	5.	4.
B.1.588	19.	2.	2.	0.	1.	0.	3.	5.
B.1.595	9.	1.	1.	0.	0.	0.	3.	2.
B.1.596	9.	1.	1.	0.	0.	0.	3.	3.
B.1.596.1	11.	2.	2.	0.	1.	0.	3.	4.
B.1.597	9.	1.	1.	0.	0.	0.	2.	2.
B.1.600	10.	1.	1.	0.	0.	0.	2.	1.
B.1.605	10.	1.	1.	0.	0.	0.	3.	1.
B.1.606	10.	1.	1.	0.	0.	0.	3.	2.
B.1.609	6.	1.	1.	0.	0.	0.	1.	0.
B.1.612	9.	1.	1.	0.	0.	0.	3.	2.
B.1.617	13.	5.	5.	0.	2.	1.	1.	4.
B.1.617.1	23.	8.	8.	0.	4.	2.	5.	5.
B.1.617.2	21.	7.	7.	0.	3.	2.	3.	7.
B.1.617.3	22.	5.	5.	0.	1.	2.	5.	5.
B.1.618	25.	2.	2.	0.	0.	1.	5.	9.
B.1.619	30.	4.	4.	0.	1.	2.	4.	5.
B.1.619.1	38.	4.	4.	0.	1.	2.	5.	5.
B.1.620	23.	7.	7.	0.	3.	2.	4.	1.
B.1.621	30.	7.	7.	0.	2.	3.	6.	5.
B.1.621.1	39.	7.	7.	0.	2.	3.	10.	5.
B.1.621.2	40.	9.	9.	0.	2.	4.	8.	7.
B.1.623	20.	4.	4.	0.	0.	2.	7.	2.
B.1.625	26.	5.	5.	0.	2.	2.	10.	4.
B.1.626	29.	6.	6.	0.	2.	3.	8.	7.
B.1.627	21.	4.	4.	0.	2.	0.	7.	1.
B.1.629	29.	6.	6.	0.	2.	2.	7.	7.
B.1.630	36.	7.	7.	0.	2.	3.	8.	6.
B.1.631	28.	6.	6.	0.	3.	1.	6.	4.
B.1.634	27.	5.	5.	0.	3.	1.	8.	1.
B.1.636	18.	3.	3.	0.	2.	0.	2.	4.
B.1.637	20.	4.	4.	0.	2.	1.	6.	6.
B.1.639	12.	4.	4.	0.	1.	2.	1.	2.
B.1.640.1	48.	10.	10.	0.	3.	5.	8.	7.
B.1.78	5.	1.	1.	0.	0.	0.	1.	0.
B.1.8	5.	1.	1.	0.	0.	0.	1.	0.
B.1.9	9.	1.	1.	0.	0.	0.	2.	1.
B.1.91	5.	1.	1.	0.	0.	0.	1.	0.
B.1.9.5	8.	1.	1.	0.	0.	0.	2.	1.
B.23	2.	0.	0.	0.	0.	0.	1.	0.
B.3	2.	0.	0.	0.	0.	0.	2.	0.
B.39	6.	0.	0.	0.	0.	0.	2.	1.
B.4	4.	0.	0.	0.	0.	0.	2.	0.
B.40	5.	0.	0.	0.	0.	0.	3.	1.
B.55	1.	0.	0.	0.	0.	0.	0.	0.
B.6	5.	0.	0.	0.	0.	0.	3.	1.
B.6.6	7.	0.	0.	0.	0.	0.	4.	1.
BA.1	54.	25.	25.	0.	4.	16.	8.	7.
BA.1.1	55.	26.	26.	0.	4.	17.	8.	7.
BA.1.10	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.1.1	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.10	58.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.11	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.12	58.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.13	58.	26.	26.	0.	4.	17.	8.	8.
BA.1.1.14	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.15	58.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.16	59.	26.	26.	0.	4.	17.	8.	8.
BA.1.1.17	58.	26.	26.	0.	4.	17.	10.	7.
BA.1.1.18	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.1.2	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.12	57.	26.	26.	0.	4.	16.	8.	7.
BA.1.1.3	58.	26.	26.	0.	4.	17.	8.	8.
BA.1.13	55.	25.	25.	0.	4.	16.	9.	7.
BA.1.13.1	57.	25.	25.	0.	4.	16.	11.	7.
BA.1.1.4	59.	26.	26.	0.	4.	17.	9.	8.
BA.1.14	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.14.1	57.	25.	25.	0.	4.	16.	10.	7.
BA.1.14.2	57.	25.	25.	0.	4.	16.	10.	7.
BA.1.1.5	59.	26.	26.	0.	4.	17.	9.	7.
BA.1.15	58.	25.	25.	0.	4.	16.	8.	9.
BA.1.15.1	59.	25.	25.	0.	4.	16.	8.	9.
BA.1.15.2	60.	27.	27.	0.	4.	17.	8.	9.
BA.1.15.3	61.	25.	25.	0.	4.	16.	9.	10.
BA.1.1.6	59.	26.	26.	0.	4.	17.	8.	8.
BA.1.16	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.16.1	59.	25.	25.	0.	4.	16.	10.	8.
BA.1.16.2	59.	25.	25.	0.	4.	16.	9.	8.
BA.1.1.7	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.17	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.17.1	58.	25.	25.	0.	4.	16.	10.	7.
BA.1.17.2	57.	25.	25.	0.	4.	16.	9.	7.
BA.1.1.8	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.18	55.	25.	25.	0.	4.	16.	9.	7.
BA.1.1.9	57.	26.	26.	0.	4.	17.	9.	7.
BA.1.19	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.2	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.20	56.	25.	25.	0.	4.	16.	8.	8.
BA.1.21	55.	25.	25.	0.	4.	16.	8.	8.
BA.1.21.1	56.	25.	25.	0.	4.	16.	9.	8.
BA.1.22	57.	25.	25.	0.	4.	16.	9.	7.
BA.1.23	59.	29.	29.	0.	4.	20.	8.	7.
BA.1.24	56.	26.	26.	0.	4.	17.	8.	7.
BA.1.3	57.	25.	25.	0.	4.	16.	9.	7.
BA.1.4	56.	26.	26.	0.	4.	16.	8.	7.
BA.1.5	57.	25.	25.	0.	4.	16.	9.	7.
BA.1.6	56.	25.	25.	0.	4.	16.	9.	7.
BA.1.7	56.	25.	25.	0.	4.	16.	8.	8.
BA.1.8	58.	25.	25.	0.	4.	16.	8.	7.
BA.1.9	57.	25.	25.	0.	4.	16.	8.	7.
BA.2	70.	33.	33.	0.	11.	18.	11.	9.
BA.2.1	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.10	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.10.1	74.	33.	33.	0.	11.	18.	13.	9.
BA.2.10.2	73.	33.	33.	0.	11.	18.	13.	10.
BA.2.10.3	73.	34.	34.	0.	12.	18.	13.	9.
BA.2.10.4	83.	39.	39.	0.	13.	22.	14.	10.
BA.2.11	74.	34.	34.	0.	11.	19.	13.	9.
BA.2.12	74.	33.	33.	0.	11.	18.	12.	9.
BA.2.12.1	75.	34.	34.	0.	11.	19.	12.	9.
BA.2.12.2	77.	34.	34.	0.	11.	19.	12.	10.
BA.2.13	74.	34.	34.	0.	11.	19.	12.	9.
BA.2.13.1	77.	34.	34.	0.	11.	19.	12.	9.
BA.2.14	73.	34.	34.	0.	12.	18.	12.	9.
BA.2.15	74.	34.	34.	0.	12.	18.	12.	9.
BA.2.16	71.	33.	33.	0.	11.	18.	11.	10.
BA.2.17	74.	33.	33.	0.	11.	18.	12.	10.
BA.2.18	73.	34.	34.	0.	11.	19.	12.	9.
BA.2.19	72.	33.	33.	0.	11.	18.	12.	9.
BA.2.2	75.	33.	33.	0.	11.	18.	14.	9.
BA.2.20	74.	34.	34.	0.	12.	18.	12.	10.
BA.2.2.1	80.	33.	33.	0.	11.	18.	14.	10.
BA.2.21	75.	33.	33.	0.	11.	18.	14.	9.
BA.2.22	75.	34.	34.	0.	12.	18.	13.	9.
BA.2.23	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.23.1	74.	33.	33.	0.	11.	18.	14.	10.
BA.2.24	72.	34.	34.	0.	11.	19.	12.	9.
BA.2.25	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.25.1	75.	33.	33.	0.	11.	18.	13.	10.
BA.2.26	73.	33.	33.	0.	11.	18.	14.	9.
BA.2.27	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.28	74.	33.	33.	0.	11.	18.	14.	10.
BA.2.29	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.3	73.	33.	33.	0.	11.	18.	13.	10.
BA.2.30	73.	33.	33.	0.	11.	18.	13.	10.
BA.2.3.1	74.	34.	34.	0.	11.	18.	13.	10.
BA.2.31	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.3.10	74.	33.	33.	0.	11.	18.	13.	11.
BA.2.3.11	74.	33.	33.	0.	11.	18.	14.	10.
BA.2.31.1	74.	34.	34.	0.	12.	18.	13.	9.
BA.2.3.12	76.	33.	33.	0.	11.	18.	15.	10.
BA.2.3.13	75.	33.	33.	0.	11.	18.	14.	10.
BA.2.3.14	75.	33.	33.	0.	11.	18.	14.	10.
BA.2.3.15	76.	34.	34.	0.	12.	18.	13.	10.
BA.2.3.16	74.	33.	33.	0.	11.	18.	13.	11.
BA.2.3.17	75.	33.	33.	0.	11.	18.	15.	10.
BA.2.3.18	76.	33.	33.	0.	11.	18.	15.	10.
BA.2.3.19	78.	34.	34.	0.	11.	19.	14.	10.
BA.2.3.2	74.	33.	33.	0.	11.	18.	13.	11.
BA.2.32	73.	33.	33.	0.	11.	18.	12.	10.
BA.2.3.20	96.5	43.	43.	0.	15.	24.	20.	10.
BA.2.3.21	74.5	33.5	33.5	0.	11.	18.5	13.	10.
BA.2.3.22	85.	39.	39.	0.	14.	21.	14.	12.
BA.2.33	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.3.4	76.	34.	34.	0.	11.	18.	13.	10.
BA.2.34	73.	33.	33.	0.	11.	18.	12.	10.
BA.2.3.5	74.	33.	33.	0.	11.	18.	14.	10.
BA.2.35	75.	34.	34.	0.	11.	19.	12.	10.
BA.2.3.6	75.	34.	34.	0.	12.	18.	13.	10.
BA.2.36	73.	34.	34.	0.	12.	18.	12.	9.
BA.2.3.7	76.	34.	34.	0.	12.	18.	14.	11.
BA.2.37	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.3.8	79.	33.	33.	0.	11.	18.	15.	10.
BA.2.38	73.	34.	34.	0.	11.	19.	12.	9.
BA.2.38.1	80.	37.	37.	0.	13.	20.	12.	9.
BA.2.38.2	80.	36.	36.	0.	12.	20.	15.	9.
BA.2.38.3	78.	36.	36.	0.	12.	20.	12.	9.
BA.2.38.4	77.	36.	36.	0.	12.	20.	12.	9.
BA.2.3.9	74.	33.	33.	0.	11.	18.	13.	11.
BA.2.39	77.	33.	33.	0.	11.	18.	15.	9.
BA.2.4	73.	33.	33.	0.	11.	18.	12.	10.
BA.2.40	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.40.1	74.	34.	34.	0.	11.	19.	13.	9.
BA.2.41	73.	33.	33.	0.	11.	18.	12.	9.
BA.2.42	75.	34.	34.	0.	12.	18.	12.	10.
BA.2.43	74.	34.	34.	0.	11.	19.	13.	9.
BA.2.44	75.	34.	34.	0.	11.	19.	12.	9.
BA.2.45	75.	34.	34.	0.	11.	19.	12.	9.
BA.2.46	77.	33.	33.	0.	11.	18.	12.	10.
BA.2.47	75.	34.	34.	0.	12.	18.	13.	9.
BA.2.48	76.	34.	34.	0.	12.	18.	13.	9.
BA.2.49	74.	33.	33.	0.	11.	18.	12.	10.
BA.2.5	72.	33.	33.	0.	11.	18.	13.	9.
BA.2.50	74.	34.	34.	0.	12.	18.	12.	9.
BA.2.51	73.	33.	33.	0.	11.	18.	12.	9.
BA.2.52	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.53	78.	34.	34.	0.	11.	19.	12.	10.
BA.2.54	75.	34.	34.	0.	12.	18.	12.	9.
BA.2.55	73.	34.	34.	0.	12.	18.	12.	9.
BA.2.56	72.	34.	34.	0.	11.	19.	12.	9.
BA.2.56.1	74.	35.	35.	0.	12.	19.	12.	9.
BA.2.57	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.58	72.	33.	33.	0.	11.	18.	12.	9.
BA.2.59	74.	33.	33.	0.	11.	18.	12.	10.
BA.2.6	73.	33.	33.	0.	11.	18.	12.	10.
BA.2.60	77.	33.	33.	0.	11.	18.	14.	9.
BA.2.61	74.	34.	34.	0.	12.	18.	12.	9.
BA.2.62	72.	33.	33.	0.	11.	18.	12.	10.
BA.2.63	73.	33.	33.	0.	11.	18.	14.	9.
BA.2.64	74.	33.	33.	0.	11.	18.	13.	9.
BA.2.65	72.	33.	33.	0.	11.	18.	12.	10.
BA.2.66	75.	33.	33.	0.	11.	18.	14.	9.
BA.2.67	75.	33.	33.	0.	11.	18.	13.	9.
BA.2.68	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.69	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.7	73.	33.	33.	0.	11.	18.	13.	9.
BA.2.70	75.	33.	33.	0.	11.	18.	15.	9.
BA.2.71	73.	34.	34.	0.	12.	18.	12.	9.
BA.2.72	74.	34.	34.	0.	12.	18.	12.	9.
BA.2.73	74.	34.	34.	0.	12.	18.	13.	9.
BA.2.74	78.	35.	35.	0.	11.	20.	12.	10.
BA.2.75	88.	42.	42.	0.	16.	22.	16.	10.
BA.2.75.1	90.	43.	43.	0.	16.	22.	16.	10.
BA.2.75.10	89.	42.	42.	0.	16.	22.	17.	10.
BA.2.75.2	94.	44.	44.	0.	16.	24.	16.	10.
BA.2.75.3	89.	42.	42.	0.	16.	22.	17.	10.
BA.2.75.4	92.	43.	43.	0.	16.	23.	16.	10.
BA.2.75.5	89.	43.	43.	0.	16.	23.	16.	10.
BA.2.75.6	90.	43.	43.	0.	16.	23.	16.	10.
BA.2.75.7	90.	43.	43.	0.	16.	23.	16.	10.
BA.2.75.8	96.	43.	43.	0.	16.	23.	19.	10.
BA.2.75.9	90.	43.	43.	0.	16.	23.	16.	10.
BA.2.76	74.	35.	35.	0.	12.	19.	12.	9.
BA.2.76.1	80.	36.	36.	0.	12.	20.	14.	9.
BA.2.76.2	79.	36.	36.	0.	13.	19.	14.	9.
BA.2.77	81.	37.	37.	0.	11.	22.	13.	12.
BA.2.78	76.	34.	34.	0.	11.	19.	13.	9.
BA.2.79	76.	35.	35.	0.	12.	19.	13.	9.
BA.2.79.1	78.	35.	35.	0.	12.	19.	15.	9.
BA.2.8	73.	33.	33.	0.	11.	18.	12.	10.
BA.2.80	79.	35.	35.	0.	11.	20.	14.	9.
BA.2.81	76.	34.	34.	0.	11.	19.	13.	9.
BA.2.82	76.	35.	35.	0.	12.	19.	14.	9.
BA.2.83	89.	40.	40.	0.	14.	22.	16.	11.
BA.2.85	77.	34.	34.	0.	11.	18.	12.	9.
BA.2.86	120.	59.	59.	0.	20.	31.	17.	13.
BA.2.86.1	123.	59.	59.	0.	20.	31.	18.	13.
BA.2.86.2	121.	59.	59.	0.	20.	31.	17.	14.
BA.2.86.3	124.	59.	59.	0.	20.	31.	17.	13.
BA.2.86.4	122.	60.	60.	0.	21.	31.	18.	13.
BA.2.86.5	125.	60.	60.	0.	21.	31.	17.	13.
BA.2.86.6	122.	59.	59.	0.	20.	31.	17.	13.
BA.2.86.7	124.	59.	59.	0.	20.	31.	18.	13.
BA.2.87	71.	33.	33.	0.	11.	18.	11.	9.
BA.2.87.1	129.	50.	50.	0.	17.	26.	26.	16.
BA.2.9	74.	33.	33.	0.	11.	18.	12.	10.
BA.2.9.1	83.	34.	34.	0.	11.	19.	13.	12.
BA.2.9.2	75.	33.	33.	0.	11.	18.	13.	10.
BA.2.9.3	75.	34.	34.	0.	12.	18.	12.	10.
BA.2.9.4	78.	34.	34.	0.	11.	19.	12.	11.
BA.2.9.5	75.	33.	33.	0.	11.	18.	13.	10.
BA.2.9.6	77.	34.	34.	0.	11.	19.	14.	10.
BA.2.9.7	81.	33.	33.	0.	11.	18.	14.	11.
BA.3	54.	23.	23.	0.	4.	15.	8.	8.
BA.3.1	57.	24.	24.	0.	4.	16.	9.	8.
BA.4	76.	36.	36.	0.	11.	21.	11.	11.
BA.4.1	77.	36.	36.	0.	11.	21.	11.	11.
BA.4.1.1	78.	37.	37.	0.	11.	21.	11.	11.
BA.4.1.10	81.	38.	38.	0.	11.	23.	11.	12.
BA.4.1.11	86.	39.	39.	0.	12.	23.	11.	13.
BA.4.1.2	81.	36.	36.	0.	11.	21.	13.	12.
BA.4.1.3	80.	36.	36.	0.	11.	21.	12.	11.
BA.4.1.4	78.	36.	36.	0.	11.	21.	11.	11.
BA.4.1.5	79.	36.	36.	0.	11.	21.	12.	11.
BA.4.1.6	78.	36.	36.	0.	11.	21.	12.	11.
BA.4.1.7	83.	37.	37.	0.	12.	21.	14.	11.
BA.4.1.8	81.	37.	37.	0.	11.	22.	11.	11.
BA.4.1.9	78.	37.	37.	0.	11.	22.	11.	11.
BA.4.2	78.	36.	36.	0.	11.	21.	12.	11.
BA.4.3	80.	37.	37.	0.	11.	21.	12.	11.
BA.4.4	78.	37.	37.	0.	11.	21.	11.	12.
BA.4.5	81.	38.	38.	0.	12.	21.	11.	11.
BA.4.6	80.	38.	38.	0.	11.	22.	11.	11.
BA.4.6.1	81.	39.	39.	0.	12.	22.	11.	11.
BA.4.6.2	83.	39.	39.	0.	11.	23.	13.	11.
BA.4.6.3	83.	40.	40.	0.	11.	24.	12.	11.
BA.4.6.4	81.	38.	38.	0.	11.	22.	11.	12.
BA.4.6.5	81.	38.	38.	0.	11.	22.	11.	11.
BA.4.7	81.	38.	38.	0.	11.	22.	11.	12.
BA.4.8	75.	36.	36.	0.	11.	21.	11.	10.
BA.5	82.5	36.	36.	0.	11.	21.	11.	11.
BA.5.1	86.	36.	36.	0.	11.	21.	11.	11.
BA.5.10	88.	37.	37.	0.	12.	21.	13.	12.
BA.5.10.1	92.	38.	38.	0.	12.	22.	14.	12.
BA.5.1.1	87.	36.	36.	0.	11.	21.	11.	12.
BA.5.11	87.	37.	37.	0.	11.	22.	11.	13.
BA.5.1.10	87.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.11	90.	36.	36.	0.	11.	21.	13.	12.
BA.5.1.12	86.	37.	37.	0.	11.	22.	11.	11.
BA.5.1.14	86.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.15	86.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.16	87.	36.	36.	0.	11.	21.	12.	12.
BA.5.1.17	86.	36.	36.	0.	11.	21.	11.	12.
BA.5.1.18	93.	37.	37.	0.	11.	22.	15.	12.
BA.5.1.19	87.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.2	86.	36.	36.	0.	11.	21.	11.	12.
BA.5.1.20	88.	37.	37.	0.	11.	22.	12.	11.
BA.5.1.21	89.	36.	36.	0.	11.	21.	13.	11.
BA.5.1.22	86.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.23	86.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.24	86.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.25	87.	36.	36.	0.	11.	21.	11.	12.
BA.5.1.26	88.	37.	37.	0.	11.	22.	11.	12.
BA.5.1.27	88.	37.	37.	0.	11.	22.	12.	11.
BA.5.1.28	87.	37.	37.	0.	11.	22.	11.	11.
BA.5.1.29	88.	37.	37.	0.	11.	22.	12.	12.
BA.5.1.3	86.	37.	37.	0.	12.	21.	11.	11.
BA.5.1.30	87.	36.	36.	0.	11.	21.	11.	12.
BA.5.1.31	93.	36.	36.	0.	11.	21.	13.	12.
BA.5.1.32	94.	36.	36.	0.	11.	21.	13.	13.
BA.5.1.33	89.	36.	36.	0.	11.	21.	13.	11.
BA.5.1.34	89.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.35	86.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.36	92.	38.	38.	0.	12.	22.	12.	12.
BA.5.1.37	89.	38.	38.	0.	12.	22.	11.	11.
BA.5.1.38	95.	37.	37.	0.	11.	22.	12.	13.
BA.5.1.4	89.	36.	36.	0.	11.	21.	14.	11.
BA.5.1.5	87.	36.	36.	0.	11.	21.	11.	11.
BA.5.1.6	87.	36.	36.	0.	11.	21.	12.	11.
BA.5.1.7	89.	36.	36.	0.	11.	21.	13.	11.
BA.5.1.8	88.	36.	36.	0.	11.	21.	13.	11.
BA.5.1.9	89.	36.	36.	0.	11.	21.	12.	12.
BA.5.2	89.	36.	36.	0.	11.	21.	12.	11.
BA.5.2.1	88.	36.	36.	0.	11.	21.	11.	11.
BA.5.2.10	89.	36.	36.	0.	11.	21.	13.	12.
